STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070420,57,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070421,67,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070422,81,61
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070423,71,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070424,58,46
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070425,48,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070426,53,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070427,53,46
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070428,73,47
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070429,82,50
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070430,66,48
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070501,84,50
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070502,54,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070503,57,47
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070504,61,45
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070505,56,50
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070506,59,48
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070507,79,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070508,73,61
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070509,69,56
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070510,70,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070511,71,48
